run	model	SigmaE	leaves	SigmaLeafE	integration	share	multiplier	modules	branches	C6checks	C6out	C6mean	singleLeafMods
PO-1	opus	1699.90	154	1121.00	578.90	34.1	1.516	16	6	21	11	10.1	0
PO-2	opus	1305.11	126	860.01	445.10	34.1	1.5176	14	6	19	14	25.2	0
PO-3	opus	1490.40	129	979.00	511.37	34.3	1.522	15	6	20	17	19.2	0
PO-4	opus	1347.24	133	884.68	462.56	34.3	1.523	18	6	23	18	18.4	0
PO-5	opus	1558.06	153	1036.06	522.00	33.5	1.5039	17	6	22	12	15.6	0
PS-1	sonnet	594.53	66	395.83	198.70	33.4	1.502	14	4	15	3	6.4	2
PS-2	sonnet	651.80	61	434.20	217.70	33.4	1.500	12	6	13	11	23.3	3
PS-3	sonnet	791.25	68	526.23	265.02	33.5	1.500	14	6	16	8	7.0	3
PS-4	sonnet	787.80	88	525.56	262.24	33.3	1.500	12	5	15	8	-9.1	1
PS-5	sonnet	781.30	72	525.35	255.98	32.8	1.487	15	6	15	13	16.9	5
