| HM2-01 | Fax service system (new core version) | — | posited (implied) | — |
| HM2-02 | Inbound fax path | HM2-01 | posited (implied) | F47 (part: the receive-and-deliver-by-email core function of the first version is present in the new artefact) |
| HM2-03 | Outbound fax path | HM2-01 | posited (implied) | F47 (part: the submit-by-email-and-send core function of the first version is present) |
| HM2-04 | Document rendering subsystem | HM2-01 | posited (implied) | — |
| HM2-05 | Fax state, orchestration and recovery mechanism | HM2-01 | posited (implied) | — |
| HM2-06 | Cluster and execution platform | HM2-01 | posited (implied) | — |
| HM2-07 | Storage, data and internal interfaces | HM2-01 | posited (implied) | — |
| HM2-08 | External exchange surfaces | HM2-01 | posited (implied) | — |
| HM2-09 | NOC | HM2-01 | posited (implied) | — |
| HM2-10 | User portal | HM2-01 | posited (implied) | — |
| HM2-11 | Accounting records | HM2-01 | posited (implied) | — |
| HM2-12 | Old-system integration and coexistence | HM2-08 | posited (implied) | — |
| HM2-13 | Access control and identity | HM2-01 | posited (implied) | — |
| HM2-14 | PoP footprint and endpoint registry | HM2-08 | accreted (stated) | F01 (part: the served reach — PoP endpoints in Europe and the USA), F38 (part: the 10–20 PoPs are known and addressable) |
| HM2-15 | Inbound fax intake service (DC-side reception from PoPs) | HM2-02 | accreted (stated) | F01 (part: the receive direction of the service is offered here), F04 (part: faxes from the PoPs are received at the Miami data centre as TIFF), F38 (part: faxes are received from each served PoP) |
| HM2-16 | Fax submission mail endpoint (the special address) | HM2-03 | accreted (stated) | F01 (part: the send direction of the service is offered here), F03 (part: the special address receives the user's mail) |
| HM2-17 | Recipient account and delivery-address resolution | HM2-02 | accreted (stated) | F02 (part: the received fax is directed to the right user's email address) |
| HM2-18 | Delivery email assembly | HM2-02 | accreted (stated) | F02 (part: the fax is packaged as an email to the user), F10 (part: the email carrying the fax is composed) |
| HM2-20 | Outbound job creation from a submission mail | HM2-03 | accreted (stated) | F03 (part: the received mail becomes an outgoing fax job) |
| HM2-21 | Received-fax landing and registration | HM2-02 | accreted (stated) | F04 (part: the received TIFF is landed and registered as an identified fax at the data centre) |
| HM2-22 | Delivery format selection | HM2-02 | accreted (stated) | F05 (part: the branch between page-by-page TIFF and converted PDF is taken from the user's configuration) |
| HM2-23 | Page-by-page TIFF attachment assembly | HM2-18 | accreted (stated) | F05 (part: the TIFF branch — each page attached as TIFF) |
| HM2-24 | PDF attachment assembly | HM2-18 | accreted (stated) | F05 (part: the PDF branch — the converted PDF attached) |
| HM2-25 | User delivery-preference configuration store | HM2-07 | accreted (stated) | F05 (part: the user's configuration is held where the delivery path reads it) |
| HM2-26 | Received-fax conversion to PDF | HM2-02 | accreted (stated) | F06 (whole) |
| HM2-27 | Digitisation step within the conversion | HM2-26 | accreted (stated) | F07 (whole) |
| HM2-28 | Third-party OCR library adapter | HM2-27 | accreted (stated) | F08 (whole) |
| HM2-29 | OCR worker | HM2-27 | accreted (stated) | F09 (whole), F11 (part: the digitisation stage of the conversion is carried out by a worker) |
| HM2-30 | Conversion worker | HM2-26 | accreted (stated) | F11 (part: conversion is carried out by a worker) |
| HM2-31 | Sending worker (delivery email dispatch) | HM2-02 | accreted (stated) | F11 (part: sending is carried out by a worker), F02 (part: the email reaches the user's mailbox), F10 (part: the email is sent to the user) |
| HM2-33 | Submission mail parsing and recipient fax-number extraction | HM2-03 | accreted (stated) | F13 (whole), F12 (whole: the mail sent to the submission address is parsed) |
| HM2-34 | Render service (document in, fax-ready TIFF out) | HM2-04 | accreted (stated) | F14 (part: the attachment document is taken in and a TIFF comes back) |
| HM2-36 | Fax-image production through a Black Ice class print driver | HM2-04 | accreted (stated) | F15 (whole), F14 (part: the document is actually rendered into TIFF pages) |
| HM2-37 | Outbound archive packaging | HM2-03 | accreted (stated) | F16 (part: the rendered TIFF is packed as the archive a PoP takes) |
| HM2-38 | PoP handoff transfer | HM2-08 | accreted (stated) | F16 (part: the archive is delivered to the chosen point of presence), F38 (part: outgoing archives are delivered to each served PoP) |
| HM2-39 | Least-cost-routing integration | HM2-08 | accreted (stated) | F17 (whole) |
| HM2-40 | Format renderer set | HM2-04 | accreted (stated) | — |
| HM2-41 | DOC renderer | HM2-40 | accreted (stated) | F18 (part: DOC), F19 (part: DOC separately integrated and stabilised) |
| HM2-42 | XLS renderer | HM2-40 | accreted (stated) | F18 (part: XLS), F19 (part: XLS separately integrated and stabilised) |
| HM2-43 | PPT renderer | HM2-40 | accreted (stated) | F18 (part: PPT), F19 (part: PPT separately integrated and stabilised) |
| HM2-44 | PDF renderer | HM2-40 | accreted (stated) | F18 (part: PDF), F19 (part: PDF separately integrated and stabilised) |
| HM2-45 | TXT renderer | HM2-40 | accreted (stated) | F18 (part: TXT), F19 (part: TXT separately integrated and stabilised) |
| HM2-46 | GIF renderer | HM2-40 | accreted (stated) | F18 (part: GIF), F19 (part: GIF separately integrated and stabilised) |
| HM2-47 | TIFF renderer | HM2-40 | accreted (stated) | F18 (part: TIFF), F19 (part: TIFF separately integrated and stabilised) |
| HM2-48 | Renderer registry and format extension point | HM2-40 | accreted (stated) | F19 (part: the set reaches the stated ~8–10 input formats, including those the source could not name) |
| HM2-49 | Per-format integration and stabilisation harness | HM2-40 | accreted (stated) | F19 (part: each format carries its own integration and stabilisation fixture) |
| HM2-51 | Cluster management console | HM2-06 | accreted (stated) | — |
| HM2-52 | Node state view and node control actions | HM2-51 | accreted (stated) | F21 (part: node state shown; a node can be taken out, put back, its work redistributed), F33 (part: the state of the cluster's nodes is displayed to operators — joint with F21 per P5) |
| HM2-53 | Queue-length view | HM2-51 | accreted (stated) | F21 (part: queue lengths shown), F34 (part: the state of the queues is displayed to operators — joint with F21 per P5) |
| HM2-54 | Queue-free job dispatch (token claim, no MQ) | HM2-05 | accreted (stated) | F22 (whole), F25 (part: work for many faxes is handed to workers without a broker), F44 (part: any free node claims the next piece of work) |
| HM2-55 | Fax status token store (unordered) | HM2-05 | accreted (stated) | F23 (whole), F46 (part: every fax carries a status record that can be controlled against) |
| HM2-56 | Watchdog over tokens | HM2-05 | accreted (stated) | F24 (part: what went wrong is detected), F45 (part: failures are detected rather than assumed away) |
| HM2-57 | Resume and re-dispatch of interrupted work | HM2-05 | accreted (stated) | F24 (part: work is resumed), F45 (part: interrupted work continues after a failure) |
| HM2-58 | Fax lifecycle progression driver | HM2-05 | accreted (stated) | F25 (part: each of a large number of faxes advances through its stages concurrently) |
| HM2-59 | Fax archive store on Lustre | HM2-07 | accreted (stated) | F26 (whole) |
| HM2-60 | Working file store on Lustre | HM2-07 | accreted (stated) | F27 (whole) |
| HM2-61 | System database schemas | HM2-07 | accreted (stated) | F28 (whole), F29 (part: components hand work over through the database) |
| HM2-62 | Internal component API | HM2-07 | accreted (stated) | F29 (part: components call one another through an API) |
| HM2-64 | NOC shell and operator workspace | HM2-09 | accreted (stated) | F31 (whole) |
| HM2-65 | PoP state view (NOC) | HM2-09 | accreted (stated) | F32 (whole) |
| HM2-66 | Cluster and backlog telemetry feed | HM2-06 | accreted (stated) | F33 (part: the cluster's state is acquired from the nodes), F34 (part: per-stage backlog figures are acquired from the token store) |
| HM2-67 | NOC cluster state panel | HM2-09 | accreted (stated) | F33 (part: the control centre shows the state of the cluster) |
| HM2-68 | NOC queue state panel | HM2-09 | accreted (stated) | F34 (part: the control centre shows the state of the queues) |
| HM2-69 | Portal web application | HM2-10 | accreted (stated) | F35 (part: the customer-facing web area exists and the user reaches it) |
| HM2-70 | Delivery configuration area (portal) | HM2-10 | accreted (stated) | F35 (part: the user administers their own delivery configuration) |
| HM2-71 | Own fax status and history view (portal) | HM2-10 | accreted (stated) | F35 (part: the user sees the status and history of their own faxes) |
| HM2-72 | Pipeline capacity dimensioning and worker allocation | HM2-06 | accreted (stated) | F36 (whole), F37 (part: the sizing frame within which burst headroom is allocated) |
| HM2-73 | Burst absorption and admission control | HM2-05 | accreted (stated) | F37 (part: about ten times nominal is accepted, held and drained with no broker beneath) |
| HM2-74 | Cluster roster and private-network topology (own Windows machines) | HM2-06 | accreted (stated) | F20 (whole), F39 (whole: ~16–20 render nodes, own machines, joined by a private network) |
| HM2-75 | CDR writer and CDR store | HM2-11 | accreted (stated) | F40 (whole) |
| HM2-76 | Billing data extract and store | HM2-11 | accreted (stated) | F41 (whole) |
| HM2-77 | Old-system exchange interface | HM2-12 | accreted (stated) | F42 (whole), F43 (part: the two systems exchange while both run) |
| HM2-78 | Transition coexistence arrangement | HM2-12 | accreted (stated) | F43 (part: which faxes and users each system serves during the transition, and shared access to PoPs and archive) |
| HM2-79 | Work distribution across the cluster | HM2-06 | accreted (stated) | F44 (part: every stage's work spreads over the roster; no stage bound to one node) |
| HM2-80 | Node loss handling and work redistribution | HM2-06 | accreted (stated) | F45 (part: the loss of a cluster node is survived and its work re-dispatched) |
| HM2-81 | Idempotent re-processing safeguards | HM2-05 | accreted (stated) | F45 (part: recovery neither duplicates nor drops a fax) |
| HM2-82 | Delivery confirmation and non-delivery handling | HM2-05 | accreted (stated) | F46 (part: the terminal delivery of each fax is confirmed and an unconfirmed fax is raised) |
| HM2-83 | Portal user authentication and session | HM2-13 | derived (implied) | — |
| HM2-84 | NOC operator authentication and roles | HM2-13 | derived (implied) | — |
| HM2-85 | Non-delivery notification to the user | HM2-05 | derived (implied) | — |
| HM2-86 | Retention and purge of archive and working files | HM2-07 | derived (implied) | — |
| HM2-87 | Component deployment and configuration distribution | HM2-06 | derived (implied) | — |
| HM2-88 | Subscriber and fax-number directory | HM2-07 | derived (implied) | — |
| HM2-89 | Logging and diagnostic trace (host of the shared C#/.NET component framework) | HM2-06 | derived (implied) | F30 (whole — carried across at normalisation from HM2-63) |
| HM2-90 | Cluster clock discipline | HM2-06 | derived (implied) | — |
| HM2-91 | Portal credential recovery | HM2-13 | derived (implied) | — |
| HM2-92 | Component version consistency across nodes | HM2-06 | derived (implied) | — |
