element	class
N10	aggregate
N12	aggregate
N13	aggregate
N20	aggregate
N21	aggregate
N22	aggregate
N23	aggregate
N30	aggregate
N40	aggregate
N41	aggregate
N50	aggregate
N60	aggregate
N70	aggregate
N80	aggregate
N90	aggregate
L01	store
L02	behaviour
L03	interface
L04	interface
L05	behaviour
L06	behaviour
L07	behaviour
L08	behaviour
L09	interface
L10	behaviour
L11	behaviour
L12	behaviour
L13	behaviour
L14	behaviour
L15	behaviour
L16	interface
L17	behaviour
L18	interface
L19	interface
L20	behaviour
L21	behaviour
L22	behaviour
L23	behaviour
L24	behaviour
L25	behaviour
L26	behaviour
L27	behaviour
L28	behaviour
L29	surface
L30	surface
L31	behaviour
L32	store
L33	behaviour
L34	behaviour
L35	behaviour
L36	store
L37	store
L38	store
L39	behaviour
L40	statement
L41	surface
L42	surface
L43	surface
L44	surface
L45	surface
L46	statement
L47	behaviour
L48	behaviour
L49	store
L50	store
L51	interface
L52	behaviour
L53	interface
L54	behaviour
L55	behaviour
L56	behaviour
D01	store
D02	behaviour
D03	store
D04	behaviour
D05	behaviour
D06	store
D07	behaviour
D08	behaviour
D09	behaviour
D10	behaviour
D11	store
D12	interface
