batch	activity	element	cycle	class
A	K1	L02	1	behaviour
A	K1	L04	1	interface
A	K1	L05	1	behaviour
A	K1	L06	1	behaviour
A	K1	L07	1	behaviour
A	K1	L08	1	behaviour
A	K1	L09	1	interface
A	K1	L10	1	behaviour
A	K1	L11	1	behaviour
A	K1	L12	1	behaviour
A	K1	L55	1	behaviour
A	K1	D01	1	store
A	K2	L02	1	behaviour
A	K2	L04	1	interface
A	K2	L05	1	behaviour
A	K2	L06	1	behaviour
A	K2	L07	1	behaviour
A	K2	L08	1	behaviour
A	K2	L09	1	interface
A	K2	L10	1	behaviour
A	K2	L11	1	behaviour
A	K2	L12	1	behaviour
A	K2	L55	1	behaviour
A	K2	D01	1	store
A	A2	L02	1	behaviour
A	A2	L04	1	interface
A	A2	L05	1	behaviour
A	A2	L06	1	behaviour
A	A2	L07	1	behaviour
A	A2	L08	1	behaviour
A	A2	L09	1	interface
A	A2	L10	1	behaviour
A	A2	L11	1	behaviour
A	A2	L12	1	behaviour
A	A2	L55	1	behaviour
A	A2	D01	1	store
A	A3	L02	1	behaviour
A	A3	L04	1	interface
A	A3	L05	1	behaviour
A	A3	L06	1	behaviour
A	A3	L07	1	behaviour
A	A3	L08	1	behaviour
A	A3	L09	1	interface
A	A3	L10	1	behaviour
A	A3	L11	1	behaviour
A	A3	L12	1	behaviour
A	A3	L55	1	behaviour
A	A3	D01	1	store
A	A4	L02	1	behaviour
A	A4	L04	1	interface
A	A4	L05	1	behaviour
A	A4	L06	1	behaviour
A	A4	L07	1	behaviour
A	A4	L08	1	behaviour
A	A4	L09	1	interface
A	A4	L10	1	behaviour
A	A4	L11	1	behaviour
A	A4	L12	1	behaviour
A	A4	L55	1	behaviour
A	A4	D01	1	store
A	A5	N10	1	aggregate
A	A5	N10	2	aggregate
A	A5	N12	1	aggregate
A	A5	N12	2	aggregate
A	A5	N13	1	aggregate
A	A5	N13	2	aggregate
A	A6	N10	1	aggregate
A	A6	N10	2	aggregate
A	A6	N12	1	aggregate
A	A6	N12	2	aggregate
A	A6	N13	1	aggregate
A	A6	N13	2	aggregate
A	A7	N10	1	aggregate
A	A7	N12	1	aggregate
A	A7	N13	1	aggregate
A	A8	N10	1	aggregate
A	A8	N12	1	aggregate
A	A8	N13	1	aggregate
A	A10	L04	1	interface
A	A10	L09	1	interface
A	D2	N10	1	aggregate
A	D2	N12	1	aggregate
A	D2	N13	1	aggregate
A	D4	L02	1	behaviour
A	D4	L04	1	interface
A	D4	L05	1	behaviour
A	D4	L06	1	behaviour
A	D4	L07	1	behaviour
A	D4	L08	1	behaviour
A	D4	L09	1	interface
A	D4	L10	1	behaviour
A	D4	L11	1	behaviour
A	D4	L12	1	behaviour
A	D4	L55	1	behaviour
A	G1	D01	1	store
A	G2	D01	1	store
A	G3	D01	1	store
B	K1	L03	1	interface
B	K1	L13	1	behaviour
B	K1	L14	1	behaviour
B	K1	L15	1	behaviour
B	K1	L16	1	interface
B	K1	L17	1	behaviour
B	K1	L18	1	interface
B	K1	L19	1	interface
B	K1	L20	1	behaviour
B	K1	L21	1	behaviour
B	K1	L22	1	behaviour
B	K1	L23	1	behaviour
B	K1	L24	1	behaviour
B	K1	L25	1	behaviour
B	K1	L26	1	behaviour
B	K1	L27	1	behaviour
B	K1	L32	1	store
B	K1	L33	1	behaviour
B	K1	L34	1	behaviour
B	K1	L35	1	behaviour
B	K1	L53	1	interface
B	K1	L54	1	behaviour
B	K1	D02	1	behaviour
B	K1	D08	1	behaviour
B	K1	D10	1	behaviour
B	K2	L03	1	interface
B	K2	L13	1	behaviour
B	K2	L14	1	behaviour
B	K2	L15	1	behaviour
B	K2	L16	1	interface
B	K2	L17	1	behaviour
B	K2	L18	1	interface
B	K2	L19	1	interface
B	K2	L20	1	behaviour
B	K2	L21	1	behaviour
B	K2	L22	1	behaviour
B	K2	L23	1	behaviour
B	K2	L24	1	behaviour
B	K2	L25	1	behaviour
B	K2	L26	1	behaviour
B	K2	L27	1	behaviour
B	K2	L32	1	store
B	K2	L33	1	behaviour
B	K2	L34	1	behaviour
B	K2	L35	1	behaviour
B	K2	L53	1	interface
B	K2	L54	1	behaviour
B	K2	D02	1	behaviour
B	K2	D08	1	behaviour
B	K2	D10	1	behaviour
B	A2	L03	1	interface
B	A2	L13	1	behaviour
B	A2	L14	1	behaviour
B	A2	L15	1	behaviour
B	A2	L16	1	interface
B	A2	L17	1	behaviour
B	A2	L18	1	interface
B	A2	L19	1	interface
B	A2	L20	1	behaviour
B	A2	L21	1	behaviour
B	A2	L22	1	behaviour
B	A2	L23	1	behaviour
B	A2	L24	1	behaviour
B	A2	L25	1	behaviour
B	A2	L26	1	behaviour
B	A2	L27	1	behaviour
B	A2	L32	1	store
B	A2	L33	1	behaviour
B	A2	L34	1	behaviour
B	A2	L35	1	behaviour
B	A2	L53	1	interface
B	A2	L54	1	behaviour
B	A2	D02	1	behaviour
B	A2	D08	1	behaviour
B	A2	D10	1	behaviour
B	A3	L03	1	interface
B	A3	L13	1	behaviour
B	A3	L14	1	behaviour
B	A3	L15	1	behaviour
B	A3	L16	1	interface
B	A3	L17	1	behaviour
B	A3	L18	1	interface
B	A3	L19	1	interface
B	A3	L20	1	behaviour
B	A3	L21	1	behaviour
B	A3	L22	1	behaviour
