participant	line	pm
P-1	L1	10.0
P-1	L2	12.0
P-1	L3	14.0
P-1	L4	6.0
P-1	L5	18.0
P-1	L6	8.0
P-1	L7	12.0
P-1	L8	12.0
P-1	L9	10.0
P-1	L10	8.0
P-1	L11	10.0
P-1	L12	4.0
P-1	L13	10.0
P-1	L14	9.0
P-1	L15	8.0
P-1	L16	6.0
P-1	L17	20.0
P-2	L1	10.0
P-2	L2	12.0
P-2	L3	10.0
P-2	L4	5.0
P-2	L5	16.0
P-2	L6	7.0
P-2	L7	10.0
P-2	L8	12.0
P-2	L9	10.0
P-2	L10	7.0
P-2	L11	9.0
P-2	L12	4.0
P-2	L13	9.0
P-2	L14	8.0
P-2	L15	8.0
P-2	L16	6.0
P-2	L17	14.0
P-3	L1	8.0
P-3	L2	12.0
P-3	L3	11.0
P-3	L4	5.0
P-3	L5	16.0
P-3	L6	6.0
P-3	L7	10.0
P-3	L8	10.0
P-3	L9	8.0
P-3	L10	7.0
P-3	L11	8.0
P-3	L12	4.0
P-3	L13	7.0
P-3	L14	9.0
P-3	L15	7.0
P-3	L16	5.0
P-3	L17	16.0
P-4	L1	9.0
P-4	L2	12.0
P-4	L3	12.0
P-4	L4	5.0
P-4	L5	18.0
P-4	L6	8.0
P-4	L7	10.0
P-4	L8	10.0
P-4	L9	8.0
P-4	L10	7.0
P-4	L11	8.0
P-4	L12	3.0
P-4	L13	7.0
P-4	L14	8.0
P-4	L15	7.0
P-4	L16	5.0
P-4	L17	16.0
P-5	L1	12.0
P-5	L2	18.0
P-5	L3	16.0
P-5	L4	8.0
P-5	L5	24.0
P-5	L6	10.0
P-5	L7	16.0
P-5	L8	16.0
P-5	L9	14.0
P-5	L10	12.0
P-5	L11	14.0
P-5	L12	6.0
P-5	L13	12.0
P-5	L14	14.0
P-5	L15	12.0
P-5	L16	8.0
P-5	L17	21.0
P-6	L1	12.0
P-6	L2	14.0
P-6	L3	14.0
P-6	L4	6.0
P-6	L5	20.0
P-6	L6	8.0
P-6	L7	12.0
P-6	L8	12.0
P-6	L9	12.0
P-6	L10	8.0
P-6	L11	10.0
P-6	L12	4.0
P-6	L13	10.0
P-6	L14	8.0
P-6	L15	9.0
P-6	L16	6.0
P-6	L17	20.0
P-7	L1	9.0
P-7	L2	12.0
P-7	L3	14.0
P-7	L4	6.0
P-7	L5	18.0
P-7	L6	7.0
P-7	L7	12.0
P-7	L8	12.0
P-7	L9	10.0
P-7	L10	8.0
P-7	L11	10.0
P-7	L12	4.0
P-7	L13	9.0
P-7	L14	9.0
P-7	L15	8.0
P-7	L16	6.0
P-7	L17	16.0
P-8	L1	10.0
P-8	L2	12.0
P-8	L3	14.0
P-8	L4	6.0
P-8	L5	20.0
P-8	L6	8.0
P-8	L7	12.0
P-8	L8	12.0
P-8	L9	10.0
P-8	L10	8.0
P-8	L11	10.0
P-8	L12	4.0
P-8	L13	9.0
P-8	L14	10.0
P-8	L15	8.0
P-8	L16	6.0
P-8	L17	16.0
P-9	L1	12.0
P-9	L2	14.0
P-9	L3	11.0
P-9	L4	7.0
P-9	L5	20.0
P-9	L6	8.0
P-9	L7	12.0
P-9	L8	14.0
P-9	L9	12.0
P-9	L10	9.0
P-9	L11	10.0
P-9	L12	5.0
P-9	L13	10.0
P-9	L14	10.0
P-9	L15	9.0
P-9	L16	7.0
P-9	L17	20.0
P-10	L1	12.0
P-10	L2	18.0
P-10	L3	16.0
P-10	L4	8.0
P-10	L5	24.0
P-10	L6	10.0
P-10	L7	16.0
P-10	L8	14.0
P-10	L9	12.0
P-10	L10	10.0
P-10	L11	12.0
P-10	L12	5.0
P-10	L13	12.0
P-10	L14	14.0
P-10	L15	12.0
P-10	L16	8.0
P-10	L17	24.0
P-11	L1	12.0
P-11	L2	18.0
P-11	L3	15.0
P-11	L4	8.0
P-11	L5	24.0
P-11	L6	10.0
P-11	L7	16.0
P-11	L8	14.0
P-11	L9	12.0
P-11	L10	10.0
P-11	L11	12.0
P-11	L12	5.0
P-11	L13	12.0
P-11	L14	12.0
P-11	L15	10.0
P-11	L16	8.0
P-11	L17	20.0
P-12	L1	10.0
P-12	L2	12.0
P-12	L3	9.0
P-12	L4	5.0
P-12	L5	16.0
P-12	L6	7.0
P-12	L7	10.0
P-12	L8	10.0
P-12	L9	8.0
P-12	L10	7.0
P-12	L11	8.0
P-12	L12	4.0
P-12	L13	8.0
P-12	L14	9.0
P-12	L15	7.0
P-12	L16	6.0
P-12	L17	18.0
P-13	L1	12.0
P-13	L2	18.0
P-13	L3	18.0
P-13	L4	8.0
P-13	L5	30.0
P-13	L6	10.0
P-13	L7	16.0
P-13	L8	16.0
P-13	L9	14.0
P-13	L10	10.0
P-13	L11	12.0
P-13	L12	6.0
P-13	L13	12.0
P-13	L14	12.0
P-13	L15	10.0
P-13	L16	8.0
P-13	L17	25.0
P-14	L1	10.0
P-14	L2	14.0
P-14	L3	11.0
P-14	L4	6.0
P-14	L5	18.0
P-14	L6	7.0
P-14	L7	12.0
P-14	L8	12.0
P-14	L9	10.0
P-14	L10	8.0
P-14	L11	10.0
P-14	L12	4.0
P-14	L13	8.0
P-14	L14	9.0
P-14	L15	8.0
P-14	L16	6.0
P-14	L17	18.0
P-15	L1	12.0
P-15	L2	18.0
P-15	L3	15.0
P-15	L4	8.0
P-15	L5	24.0
P-15	L6	10.0
P-15	L7	14.0
P-15	L8	14.0
P-15	L9	12.0
P-15	L10	10.0
P-15	L11	12.0
P-15	L12	5.0
P-15	L13	10.0
P-15	L14	12.0
P-15	L15	10.0
P-15	L16	8.0
P-15	L17	22.0
P-16	L1	10.0
P-16	L2	14.0
P-16	L3	13.0
P-16	L4	6.0
P-16	L5	18.0
P-16	L6	7.0
P-16	L7	10.0
P-16	L8	12.0
P-16	L9	10.0
P-16	L10	8.0
P-16	L11	9.0
P-16	L12	4.0
P-16	L13	9.0
P-16	L14	9.0
P-16	L15	8.0
P-16	L16	6.0
P-16	L17	18.0
P-17	L1	12.0
P-17	L2	14.0
P-17	L3	11.0
P-17	L4	7.0
P-17	L5	20.0
P-17	L6	8.0
P-17	L7	14.0
P-17	L8	14.0
P-17	L9	12.0
P-17	L10	9.0
P-17	L11	10.0
P-17	L12	5.0
P-17	L13	10.0
P-17	L14	10.0
P-17	L15	9.0
P-17	L16	7.0
P-17	L17	20.0
P-18	L1	8.0
P-18	L2	10.0
P-18	L3	10.0
P-18	L4	5.0
P-18	L5	14.0
P-18	L6	6.0
P-18	L7	10.0
P-18	L8	9.0
P-18	L9	8.0
P-18	L10	7.0
P-18	L11	8.0
P-18	L12	3.0
P-18	L13	7.0
P-18	L14	8.0
P-18	L15	7.0
P-18	L16	5.0
P-18	L17	15.0
P-19	L1	10.0
P-19	L2	14.0
P-19	L3	14.0
P-19	L4	6.0
P-19	L5	20.0
P-19	L6	8.0
P-19	L7	12.0
P-19	L8	12.0
P-19	L9	10.0
P-19	L10	8.0
P-19	L11	10.0
P-19	L12	4.0
P-19	L13	10.0
P-19	L14	10.0
P-19	L15	9.0
P-19	L16	6.0
P-19	L17	20.0
P-20	L1	10.0
P-20	L2	12.0
P-20	L3	10.0
P-20	L4	5.0
P-20	L5	16.0
P-20	L6	6.0
P-20	L7	9.0
P-20	L8	10.0
P-20	L9	8.0
P-20	L10	6.0
P-20	L11	8.0
P-20	L12	3.0
P-20	L13	7.0
P-20	L14	8.0
P-20	L15	7.0
P-20	L16	5.0
P-20	L17	16.0
P-21	L1	8.0
P-21	L2	10.0
P-21	L3	10.0
P-21	L4	4.0
P-21	L5	14.0
P-21	L6	6.0
P-21	L7	8.0
P-21	L8	8.0
P-21	L9	7.0
P-21	L10	6.0
P-21	L11	8.0
P-21	L12	3.0
P-21	L13	6.0
P-21	L14	7.0
P-21	L15	6.0
P-21	L16	5.0
P-21	L17	14.0
P-22	L1	10.0
P-22	L2	14.0
P-22	L3	12.0
P-22	L4	6.0
P-22	L5	18.0
P-22	L6	8.0
P-22	L7	12.0
P-22	L8	10.0
P-22	L9	9.0
P-22	L10	7.0
P-22	L11	9.0
P-22	L12	4.0
P-22	L13	9.0
P-22	L14	8.0
P-22	L15	8.0
P-22	L16	6.0
P-22	L17	18.0
P-23	L1	9.0
P-23	L2	10.0
P-23	L3	11.0
P-23	L4	5.0
P-23	L5	14.0
P-23	L6	6.0
P-23	L7	9.0
P-23	L8	10.0
P-23	L9	9.0
P-23	L10	6.0
P-23	L11	8.0
P-23	L12	3.0
P-23	L13	8.0
P-23	L14	7.0
P-23	L15	7.0
P-23	L16	5.0
P-23	L17	14.0
P-24	L1	10.0
P-24	L2	14.0
P-24	L3	14.0
P-24	L4	6.0
P-24	L5	20.0
P-24	L6	8.0
P-24	L7	12.0
P-24	L8	12.0
P-24	L9	10.0
P-24	L10	8.0
P-24	L11	10.0
P-24	L12	4.0
P-24	L13	10.0
P-24	L14	10.0
P-24	L15	10.0
P-24	L16	7.0
P-24	L17	18.0
P-25	L1	12.0
P-25	L2	10.0
P-25	L3	12.0
P-25	L4	6.0
P-25	L5	16.0
P-25	L6	7.0
P-25	L7	10.0
P-25	L8	10.0
P-25	L9	9.0
P-25	L10	7.0
P-25	L11	9.0
P-25	L12	4.0
P-25	L13	8.0
P-25	L14	8.0
P-25	L15	9.0
P-25	L16	6.0
P-25	L17	17.0
P-26	L1	8.0
P-26	L2	12.0
P-26	L3	11.0
P-26	L4	6.0
P-26	L5	18.0
P-26	L6	7.0
P-26	L7	12.0
P-26	L8	12.0
P-26	L9	9.0
P-26	L10	8.0
P-26	L11	9.0
P-26	L12	4.0
P-26	L13	9.0
P-26	L14	10.0
P-26	L15	8.0
P-26	L16	6.0
P-26	L17	18.0
P-27	L1	12.0
P-27	L2	14.0
P-27	L3	14.0
P-27	L4	7.0
P-27	L5	24.0
P-27	L6	9.0
